Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
2,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/2,work flow 정하기,Closed,"`계획` : (예시 : 메인페이지 UI 구현)을 github project issue로 만듦

`실행` : 이슈전환(convert to issue)

`마무리` : [커밋 메시지와 issue 연동](https://www.lesstif.com/gitbook/github-push-pr-pull-request-issue-129008869.html) (예시 : close #2 를 커밋 메시지에 추가) 또는 MR과 issue 연동
PR을 dev 브랜치에 날리기!

이슈 close",서윤지,adeliepenguin,손 형석,SonHyeongSeok,No,No,,2022-12-12 07:23:57,2022-12-12 18:56:04,2022-12-12 18:56:04,,,BE,0,0
3,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/3,boilerplate 협의하기,Closed,,서윤지,adeliepenguin,손 형석,SonHyeongSeok,Yes,No,,2022-12-12 07:32:04,2022-12-20 10:22:36,2022-12-12 18:56:28,,,BE,0,0
4,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/4,개발환경구축,Closed,,서윤지,adeliepenguin,서윤지,adeliepenguin,Yes,No,2022-12-12,2022-12-12 07:37:43,2022-12-20 10:22:53,2022-12-12 07:43:57,,,BE,0,0
5,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/5,221214 [BE] 오피스 아워 이슈 : merge request의 target branch에 dev를 선택할 수 없습니다,Closed,"'# gitlab에서 merge request의 target branch에 dev를 선택할 수 없습니다


| 이슈 Label| 해당 사항 체크(✅,❎) |
| ------ | ------ |
| 프로젝트 진행 방향성에 관한 이슈 |  |
| 데이터 관리의 어려움 |  |
| 버그 |  |
| 서버 이슈 |  |
| 속도 이슈 |  |
| gitlab 이슈 |✅|
| 그 외 |  |

- 설명 : `feat-BE-user-api`브랜치를 `dev`브랜치에 머지하려고 하는 상황입니다. gitlab에서 Merge Request를 생성하기 위해 source branch를 `feat-BE-user-api`로 설정하고, target branch에 `dev`브랜치로 설정되지 않습니다.(하단 캡쳐)

## <gitlab 이슈>

### 1. 개발 시 이슈가 무엇이었는지 예상 동작과 현재 동작에 대해 자세히 기입해주세요.
local에서 git merge `feat-BE-user-api`&& git 명령어를 써서 merge를 하는 상황입니다.

### 2. 이슈에 대한 원인을 기입해주세요.
initialization 레포지토리를 fork 해올 당시 `master` 브랜치가 있었고, `main` 브랜치를 생성한 이후 `master`브랜치를 삭제했습니다..그리고 local에서 `master`를 삭제하고 `main` 브랜치에서 `dev`브랜치를 생성한 후 `feat-BE-user-api` 브랜치를 생성하였습니다. 

### 3. 문제가 발생한 코드 및 스크린샷을 기입해주세요.
![image](/uploads/864940b4625747d8e8c9a0da72d1deab/image.png)",서윤지,adeliepenguin,[코치] 유관식,ksyoo,No,No,,2022-12-14 08:11:33,2022-12-16 18:37:48,2022-12-14 08:18:34,,,"BE,🙋오피스아워",0,0
6,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/6,221215 [FE] 오피스 아워 이슈 : 구현 우선 순위,Closed,"'## 개발 시 어려운 점을 아래 리스트 중에 체크해주세요.
| 이슈 Label| 해당 사항 체크(✅,❎) |
| ------ | ------ |
| 프로젝트 진행 방향성에 관한 이슈 | ✅ |
| 데이터 관리의 어려움 |  |
| 버그 |  |
| 서버 이슈 |  |
| 속도 이슈 |  |
| gitlab 이슈 |  |
| 그 외 |  |

- 이슈에 대한 자세한 설명 :
뉴스레터와 챌린지 중에서 구현 우선 순위를 둔다면 무엇을 먼저 하기를 추천하시는지 조언 부탁드립니다.
구현했을때 기술적으로 더 가치있는 기능과, 고도화할 요소가 많다고 보이는 기능이 무엇인지 궁금합니다.

### 그 외 궁금한 점을 기입해주세요.

1. localforage 사용 여부
2. refresh token 사용 여부",Jisu Park,zih2o,[코치] 김혜진,yejinh,No,No,,2022-12-15 08:58:54,2022-12-15 14:03:00,2022-12-15 14:03:00,,,"FE,🙋오피스아워",0,0
7,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/7,Layered Architecture,Closed,"'`context`

221214 office hour 시간에 Layered Architecture에 대한 가이드를 주셨고 어떻게 구현해야 조금 더 나은 구조인지 고민하고 있습니다.

`state`

현재 user API는 router/controller/service+repository의 형태입니다.
중점적으로 피드백 받고 싶은 부분은 다음과 같습니다.
- service + repository가 합쳐져 있는 구조에 대한 trade-off(저는 mongoDB를 사용한다면 ORM과의 결합도가 높아져도 아직까진 괜찮지 않을까.. 싶어서 합쳤습니다..)
- router를 분리해야 할 필요가 있을지(모듈마다 분리하는 것에 대해)
- invariant 같은 유틸함수는 utils라는 함수를 만들고 거기에 넣는 게 맞을지(아직 유틸이 하나여서 안넣었습니다)

**디렉토리 구조** (현재 사용하고 있지 않거나 파악하지 못한 파일은 제외하였습니다.)
```terminal
├── src
│   ├── app.ts
│   ├── auth
│   │   ├── auth-controller.ts
│   │   ├── auth-d.ts
│   │   ├── auth-schema.ts
│   │   └── auth-service.ts
│   ├── index.d.ts // Express type을 확장해주는 역할
│   ├── invariant.ts // 타입 가드를 해주는 유틸 함수
│   ├── middleware
│   │   ├── admin-required.ts
│   │   ├── login-required.ts
│   ├── routes.ts // swagger가 주입된 부분입니다
│   ├── server.ts
│   └── user
│       ├── admin-controller.ts
│       ├── user-controller.ts // router단에서 admin-required 미들웨어와 login-required 미들웨어를 한 번에 주입하기 위해 분리하였습니다
│       ├── user-d.ts
│       ├── user-schema.ts
│       └── user-service.ts
```

`추가 질문`

저희가 kebab case를 사용하고 있는데(이유없음 즉흥적으로 정함) 혹시 TypeScript+Express에서 주로 사용하는 역사와전통의(???) 컨벤션이 있나요?",서윤지,adeliepenguin,[코치] 유관식,ksyoo,Yes,No,,2022-12-16 07:10:11,2022-12-20 10:22:14,2022-12-16 12:13:51,,,"BE,🙋오피스아워",0,0
8,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/8,DB connect시 주의사항에 대해 여쭤보려고 합니다!,Open,"기존 보일러플레이트 코드는 mongoDB URI(ex : mongodb://localhost:27017/apiname)을 통해 connect하는 형태로 되어 있습니다!

따라서 저희의 MongoDB Atlas와 연결하기 위해서 해당 URI를 수정하면 될 것 같지만...

mongoDB URI를 넣어둔 .env가 탈취당한다면 db 접근이 되는 구조이므로 `DB connection을 안전하게 하는 방법`에 대해 찾던 도중 proxy를 사용하거나 AWS IAM으로 인증을 걸어놓는 방법에 대해 알게 되었습니다

`질문`
1. 현업에서는 DB connection을 어떠한 방법으로 처리하는지
2. 커넥션 풀이 어떻게 관리되는 지 궁금합니다!!(개념에 대해서도 간략히 설명해주시면 많은 도움을 얻을 수 있을 것 같습니다)",서윤지,adeliepenguin,[코치] 유관식,ksyoo,Yes,No,,2022-12-16 08:46:35,2022-12-20 10:16:49,,,,"BE,🙋오피스아워",0,0
9,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/9,aws 배포 진행에 관해 질문이 있습니다! ㅠㅠ,Closed,"진행상황

1. AWS 루트 계정 가입
2. AWS IAM 계정 생성 및 분할
3. EC2 ubuntu instance 생성
4. PuTTY를 이용해 instance access
5. node,npm,git install

질문

1. 사실 처음 배포하기도 하고 전체적인 프로세스가 맞게 진행 되고 있는지 궁금하고, 틀렸다면 어느부분을 보완해야할지 궁금합니다.
2. 현재 instance 내에서 노드를 설치했는데 노드 버전이 12.22.9 버전으로 구버전인 것 같은데 괜찮은지 궁금합니다.
3. 하나하나 삽질하면서 알아내는 중이긴한데, 이 시점에서 오피스아워 전까지 더 진행해나가겠지만 다음으로 필요한 작업이 뭔지 궁금합니다. ex) 도메인 입히기라던지, 포트번호숨기기(?)요런것들..
4. 배포 후 관리를 어떤식으로 하는지

엉어엉유ㅠ어어유ㅠㅠㅠ어엉어ㅠㅠㅠㅠ",손 형석,SonHyeongSeok,[코치] 유관식,ksyoo,No,No,,2022-12-16 08:54:55,2022-12-16 15:00:22,2022-12-16 15:00:22,,,"BE,🙋오피스아워",0,0
10,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/10,user api 기능명세와 논의사항,Open,"'## user
### `기능명세`

**user가 자신의 정보를 조회할 수 있습니다.**

**user가 자신의 정보를 수정할 수 있습니다.**

> 이 때 기존 패스워드가 필요합니다. 변경할 수 있는 정보는 다음과 같습니다.
> - username(하지만 유일해야 합니다),
> - bio(회원가입 시 default 값으로 ""Hi, there!""이라는 문구가 삽입됩니다.),
> - imgUrl(회원가입 시 default값으로 이미지 url이 삽입됩니다)
> 
> 그리고 요청을 보낼 때 모든 프로퍼티를 채우지 않아도 가능합니다.(optional)
> 
> 또한 유저가 패스워드를 변경할 때도 이 요청으로 처리합니다.

**유저가 탈퇴할 수 있습니다.**

### `앞으로 변경해야 하는 부분`


회원탈퇴한 유저는 자신의 정보를 조회할 수 없습니다.(isDeleted가 false인 user만 요청을 보낼 수 있습니다.)

회원탈퇴한 유저는 자신의 정보를 수정할 수 없습니다.(isDeleted가 false인 user만 요청을 보낼 수 있습니다.)

db에서 created_At이 3개월 이상인 유저는 실제 db에서 삭제합니다.

### `논의가 필요한 부분`
admin이 정지시킨 유저가 회원탈퇴할 수 없습니다(?)(isDeleted가 false인 user만 요청을 보낼 수 있습니다.)

admin이 회원탈퇴 할 수 있습니다(?)

admin이 자신의 정보를 조회할 수 있습니다(?) -> 유저 정보와 동일하게 처리하면 되는지(?)

admin이 자신의 정보를 변경할 수 있습니다.(유저와 동일하게 username, bio, imgUrl, 그리고 패스워드를 변경합니다. 또한 자신의 정보를 변경할 시 기존 비밀번호를 확인하는 로직이 유저와 동일합니다.



---
[POSTMAN DOCS](https://documenter.getpostman.com/view/18622149/2s8YzXwfp4)",서윤지,adeliepenguin,서윤지,adeliepenguin,Yes,No,2022-12-19,2022-12-17 16:57:18,2022-12-20 10:16:22,,,,"BE,FE",0,0
11,https://kdt-gitlab.elice.io/sw_track/class_03/web_project_2/team2/do-green/-/issues/11,auth api 기능명세 및 논의사항,Closed,"'### `기능명세`
user가 회원가입 할 수 있습니다.

user가 회원가입한 email과 password로 로그인 할 수 있습니다.

admin은 client에서 회원가입할 수 없습니다.

admin이 email과 password로 로그인 할 수 있습니다.

### `논의가 필요한 부분`

admin이 ban한 user는 회원가입을 3개월 간 할 수 없는지

---
cf) BE에서 발생한 문제\

auth create와 user create를 transaction으로 묶어야 user create이 fail해도 auth도 함께 fail되어 해당 로직을 하나의 묶음으로 처리해야 함. DB 정합성이 깨짐을 dev 환경 DB에서 확인함.

---

[POSTMAN DOCS](https://documenter.getpostman.com/view/18622149/2s8YzXwfp4)",서윤지,adeliepenguin,서윤지,adeliepenguin,No,No,2022-12-19,2022-12-17 17:00:28,2022-12-19 14:22:50,2022-12-19 14:22:50,,,"BE,FE",0,0
